Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
11122_at		P06105	d1vig__		KH	11122_at			IPR004088	IPB000958					YJL080C		
11123_at		P47032				11123_at			IPR001283	IPB002889					YJL079C		
11079_at		P47033				11079_at			IPR001283	IPB000416					YJL078C		
11080_at		P47034				11080_at									YJL077C		
11081_at		P47035				11081_at				IPB003403					S0003612		
11082_at		P47036				11082_at									S0003611		
11083_at		P47037	d1e69a_		SMC_N	11083_at			IPR003439						YJL074C		Q27480
11084_at		P40358	d1fv1a1		DnaJ	11084_at			IPR001623	IPB001623					YJL073W		
11085_at		P40359			DUF392	11085_at									S0003608		
11086_at		P40360				11086_at									YJL071W		
11087_at		P40361			A_deaminase	11087_at			IPR001365	IPB001365	3.5.4.6				YJL070C		
11088_at		P40362				11088_at			IPR001680						S0003605		
11089_at		P40363	d1f0na_		Esterase	11089_at			IPR000734	IPB000734	3.1.1.1				YJL068C		
11090_at		P40365				11090_at									S0003603		
11091_at		P40364				11091_at									YJL066C		
11092_at		P40366				11092_at									YJL065C		
11093_at		P47038				11093_at				IPB000315					YJL064W		
11094_at		P22353	d1gd8a_		Ribosomal_L17	11094_at			IPR000456	IPB000456					YJL063C		
11095_at		P40367				11095_at			IPR001230	IPB002591					YJL062W		
11096_at		P40368				11096_at									YJL061W		
11097_at		P47039	d1bjwa_		aminotran_1_2	11097_at			IPR004839	IPB001511	2.6.1.5				YJL060W		
11098_at		P47040			CLN3	11098_at			IPR001230	PR01315					YJL059W		
11099_at		P47041				11099_at									S0003594		
11100_at		P47042			pkinase	11100_at			IPR002290	IPB000494					YJL057C	C14	
11101_at		P47043			zf-C2H2	11101_at			IPR000822	IPB001275					YJL056C		
11057_at		P47044			Lysine_decarbox	11057_at			IPR005269						YJL055W		
11058_at		P47045				11058_at									S0003590		
11059_at		P40335			Vps26	11059_at			IPR005377						YJL053W		
11060_at		P00360	d1qb3a_		gpdh_C	11060_at			IPR000173	IPB001342	1.2.1.12				S0003588		
11061_g_at		P00360	d1qb3a_		gpdh_C	11061_g_at			IPR000173	IPB001342	1.4.1.16				YJL052W		
11062_at		P47046				11062_at									S0003587		
11063_at		P47047	d1hv8a1		helicase_C	11063_at			IPR001410						YJL050W		
11064_at		P47048				11064_at									S0003585		
11065_at		P47049	d1h8ca_		UBX	11065_at			IPR001012	IPB001012					YJL048C		
11066_at		P47050				11066_at			IPR001373						YJL047C		
11067_at		P47051			BPL_LipA_LipB	11067_at			IPR004562	IPB003693					YJL046W		
11068_at		P47052	d1qlaa3		succ_DH_flav_C	11068_at			IPR004112	PR00757	1.3.99.4				YJL045W		
11069_at		P32806			TBC	11069_at			IPR000195	IPB000195					YJL044C		
11070_at		P47053				11070_at									YJL043W		
11071_at		P43638	d1a4ya_			11071_at									YJL042W		
11072_at		P14907				11072_at				IPB002989					YJL041W		
11073_at		P47054				11073_at									YJL039C		
11074_at		P47055				11074_at									YJL038C		
11075_at		P47056				11075_at									YJL037W		
11076_at		P47057			PX	11076_at			IPR001683	IPB001683					YJL036W		
11077_at		P47058			dCMP_cyt_deam	11077_at			IPR002125	IPB002125	3.5.4.1				YJL035C		
11078_at		P16474	d1ckra_		HSP70	11078_at			IPR001023	IPB002821					S0003571		
11034_at		P20448	d1hv8a1		helicase_C	11034_at			IPR001650	IPB000330					YJL033W		
11035_at		P47059				11035_at									YJL032W		
11036_at		Q00618	d1dkfa_		PPTA	11036_at			IPR002088	IPB002088					YJL031C		
11037_at		P40958	d1klqa_		HORMA	11037_at			IPR003511	IPB003511					YJL030W		
11038_at		P47061			Vps53_N	11038_at									YJL029C		
11039_at		P47062				11039_at									S0003565		
11040_at		P47063				11040_at									S0003564		
11041_at		P09938	d1xsm__		ribonuc_red_sm	11041_at			IPR000358	IPB000358	1.17.4.1				YJL026W		
11042_at		P40992				11042_at									YJL025W		
11043_at		P47064			Clat_adaptor_s	11043_at			IPR000804	IPB000804					YJL024C		
11044_at		P47065				11044_at									YJL023C		
11045_at		P47066				11045_at									YJL022W		
11046_at						11046_at									YJL021C		
11047_at		P47068				11047_at			IPR001452	PR00452					S0003557		
11048_at		P47069				11048_at				IPB002866					S0003556		
11049_g_at		P47069				11049_g_at				IPB002866					YJL019W		
11050_at		P47070				11050_at									YJL018W		
11051_at		P47071				11051_at									YJL017W		
11052_at		P47072				11052_at									S0003553		
11053_at		P47073				11053_at									YJL015C		
11054_at		P39077	d1a6da3		cpn60_TCP1	11054_at			IPR002423	IPB001844					S0003551		
11055_at		P47074				11055_at									YJL013C		
11056_at		P47075			SPX	11056_at			IPR001993						S0003549		
11010_at		P47076				11010_at									YJL011C		
11011_at		P47077			PUF	11011_at			IPR001313						YJL010C		
11012_at		P47078				11012_at									YJL009W		
11013_at		P47079	d1a6da3		cpn60_TCP1	11013_at			IPR002423	IPB001844					S0003545		
11014_at		P47080				11014_at									YJL007C		
11015_at		P46962	d1jkw_1		cyclin	11015_at			IPR004366	IPB000553					YJL006C		
11016_at		P08678	d1fx2a_		guanylate_cyc	11016_at			IPR003592	PR00019					S0003542		
11017_at		P41544				11017_at									YJL004C		
11018_at		P47081				11018_at									YJL003W		
11019_at		P41543				11019_at									YJL002C		
11020_i_at		P38624				11020_i_at			IPR000243						YJL001W		
11021_f_at		P38624				11021_f_at			IPR001353						YJL001W		
11022_at		P38624				11022_at			IPR000243						YJL001W		
11023_at		P47082			Aa_trans	11023_at			IPR002422	IPB002091					YJR001W		
11024_at		P47083			Mpp10	11024_at									YJR002W		
11025_at		P47084				11025_at									YJR003C		
11026_at		P20840				11026_at				IPB002889					YJR004C		
11027_at		P27351			Adaptin_N	11027_at			IPR002553						S0003765		
11028_at		P46957				11028_at									YJR006W		
11029_at		P20459	d1sro__		S1	11029_at			IPR003029						YJR007W		
11030_at		P47085			UPF0103	11030_at			IPR002737	IPB002737					YJR008W		
11031_s_at		P00358	d1qb3a_		gpdh_C	11031_s_at			IPR000173	IPB001342	1.2.1.12				YJR009C		
11032_at		P08536	d1g8fa3		ATP-sulfurylase	11032_at			IPR002650	IPB002650	2.7.7.4				YJR010W		
11033_at		P46965				11033_at									YJR010C-A		
10988_at		P47086				10988_at									YJR011C		
10989_at		P47087				10989_at									S0003773		
10990_at		P47088				10990_at			IPR001865						S0003774		
10991_at		P47089	d2if1__			10991_at			IPR005873	IPB001950					YJR014W		
10992_at		P47090				10992_at									S0003776		
10993_at		P39522			ILVD_EDD	10993_at			IPR000581	IPB000581	4.2.1.9				YJR016C		
10994_at		P22696	d1pina2		Rotamase	10994_at			IPR000297	IPB001202	5.2.1.8				S0003778		
10995_at		P47091				10995_at									YJR018W		
10996_at		P41903	d1c8ua1		Acyl_CoA_thio	10996_at			IPR003703	IPB003703					YJR019C		
10997_at		P47092				10997_at									YJR020W		
10998_at		P21651				10998_at									YJR021C		
10999_at		P21651				10999_at									YJR021C		
11000_at		P47093	d1d3bb_		Sm	11000_at			IPR001163	IPB001163					YJR022W		
11001_at		P47094				11001_at									S0003784		
11002_at		P47095	d1jdia_		Aldolase_II	11002_at			IPR001303	IPB001303	5.1.3.4				S0003785		
11003_at		P47096				11003_at					1.13.11.6				YJR025C		
11004_at		P47101				11004_at									YJR030C		
11005_at		P47102	d3erda_		Sec7	11005_at			IPR000904	IPB000904					S0003792		
11006_at		P47103	d1a58__		pro_isomerase	11006_at			IPR001440	IPB002130					YJR032W		
11007_at		P47104			WD40	11007_at			IPR001680						S0003794		
11008_at		Q02772				11008_at									YJR034W		
11009_at		P40352			SNF2_N	11009_at			IPR001650	IPB000330					YJR035W		
10965_at		P40985			HECT	10965_at			IPR005829	IPB000569					S0003797		
10966_at		P47105				10966_at									YJR037W		
10967_at		P47106				10967_at									YJR038C		
10968_at		P47107				10968_at									YJR039W		
10969_at		P37020	d1kpka_		voltage_CLC	10969_at			IPR000644	PR00762					YJR040W		
10970_at		P47108				10970_at									YJR041C		
10971_at		P46673				10971_at									YJR042W		
10972_at		P47110				10972_at									S0003804		
10973_at		P47111			Vps55	10973_at									S0003805		
10974_at		P12398	d1dkgd1		HSP70	10974_at			IPR001023	IPB002731	2.7.1.17				YJR045C		
10975_at		P47112				10975_at									S0003807		
10976_at		P19211	d1bqqt_		eIF-5a	10976_at			IPR001884	IPB001884					YJR047C		
10977_at		P00044	d1ycra_		cytochrome_c	10977_at			IPR000345	IPB000345					YJR048W		
10978_at		P21373			NAD_kinase	10978_at			IPR002504	IPB002504					YJR049C		
10979_at		P21374				10979_at									S0003811		
10980_at		P21375	d1d4ca2		FAD_binding_2	10980_at			IPR003953	PR00368	1.3.99.4				YJR051W		
10981_at		P06779				10981_at									S0003813		
10982_at		P47113				10982_at									YJR053W		
10983_at		P47114				10983_at									YJR054W		
10984_at		P46973				10984_at									YJR055W		
10985_at		P47115				10985_at									S0003817		
10986_at		P00572	d1e9ea_		Thymidylate_kin	10986_at			IPR000062	IPB000062	2.7.4.9				YJR057W		
10987_at		Q00381			Clat_adaptor_s	10987_at			IPR000804	IPB000804					YJR058C		
10943_at		P47116			pkinase	10943_at			IPR000719	IPB000959					YJR059W	NPR1	
10944_at		P17106	d1an2a_		HLH	10944_at			IPR001092	IPB003015					YJR060W		
10945_at		P40355				10945_at									YJR061W		
10946_at		P40354	d1f89a_		CN_hydrolase	10946_at			IPR003010		3.5.5.7				YJR062C		
10947_at		P32529	d1tfi__		TFIIS	10947_at			IPR001529	IPB003618					YJR063W		
10948_at		P40413	d1ass__		cpn60_TCP1	10948_at			IPR002194	IPB001844					S0003825		
10949_at		P47117	d1k8ka1		actin	10949_at			IPR004000	IPB004000					YJR065C		
10950_at		P35169	d3fapb_		PI3_PI4_kinase	10950_at			IPR003152	IPB003113	2.7.1.67				YJR066W		
10951_at		P47118				10951_at									YJR067C		
10952_at		P40348	d1iqpa2		AAA	10952_at			IPR000862	IPB002648					YJR068W		
10953_at		P47119	d1b78a_		Ham1p_like	10953_at			IPR002637	IPB002637					YJR069C		
10954_at		P47120			HEAT_PBS	10954_at			IPR004155						YJR070C		
10955_at		P47121				10955_at									YJR071W		
10956_at		P47122			ATP-bind	10956_at			IPR004130	PR00364					YJR072C		
10957_at		P05375			PEMT	10957_at					2.1.1.16				YJR073C		
10958_at		P47123	d1eq6a_			10958_at									YJR074W		
10959_at		P47124				10959_at									YJR075W		
10960_at		P32458	d1h65a_		GTP_CDC	10960_at			IPR000038	IPB000765					YJR076C		
10961_at		P23641			mito_carr	10961_at			IPR002067	IPB001993					YJR077C		
10962_at		P47125			IDO	10962_at			IPR000898	IPB000898	1.13.11.42				YJR078W		
10963_at		P47126				10963_at									YJR079W		
10964_at		P47127				10964_at				IPB003704					S0003841		
10920_at		P47126				10920_at									S0003840		
10921_at		P47128				10921_at									YJR082C		
10922_at		P47129				10922_at									S0003843		
10923_at		P47130				10923_at									YJR084W		
10924_at		P47131			UPF0136	10924_at			IPR005349						YJR085C		
10925_at		P18852			G-gamma	10925_at			IPR001230						S0003846		
10926_at		P47132				10926_at									YJR087W		
10927_at		P47133				10927_at			IPR001440						YJR088C		
10928_at		P47134	d1e31a_		BIR	10928_at			IPR001370	IPB001370					YJR089W		
10929_at		P24814			LRR	10929_at			IPR003592						YJR090C		
10930_at		P47135			PUF	10930_at			IPR000504						YJR091C		
10931_at		P45976				10931_at				IPB002989					YJR093C		
10932_at		P21190				10932_at									YJR094C		
10933_at		P49631	d1jj2y_		Ribosomal_L37ae	10933_at			IPR002674	IPB002674					S0003855		
10934_at		P33303				10934_at			IPR001993						YJR095W		
10935_at		P47137	d1ads__		aldo_ket_red	10935_at			IPR001395	IPB001395	1.1.1.188				YJR096W		
10936_at		P47138	d1ctj__		DnaJ	10936_at			IPR001623	IPB001623					YJR097W		
10937_at		P47139				10937_at									YJR098C		
10938_at		P35127	d1cmxa_		Peptidase_C12	10938_at			IPR001578	IPB001578					S0003860		
10939_at		P47140			Scramblase	10939_at			IPR005552						S0003861		
10940_at		P47141	d1ap6a2			10940_at			IPR001189	IPB001189	1.15.1.1				YJR101W		
10941_at		P47142				10941_at									S0003863		
10942_at		P38627			GATase	10942_at			IPR004468	IPB002586	6.3.4.2				YJR103W		
10897_at		P00445	d1jcv__		sodcu	10897_at			IPR001424	IPB001424					YJR104C		
10898_at		P47143	d1bx4a_		pfkB	10898_at			IPR001805	IPB002173	2.7.1.20				YJR105W		
10899_at		P47144			Na_Ca_Ex	10899_at			IPR004837						YJR106W		
10900_at		P47145	d1tib__		Lipase_3	10900_at			IPR000734	IPB000734					YJR107W		
10901_at		P47146				10901_at									YJR108W		
10902_at		P03965	d1a9xa5		MGS	10902_at			IPR005483	IPB000291	6.3.5.5				YJR109C		
10903_at		P47147				10903_at			IPR000387	IPB000387					YJR110W		
10904_at		P47148				10904_at									YJR111C		
10905_at		P47149			Nnf1	10905_at			IPR002198						YJR112W		
10906_at		P47150	d1rss__		Ribosomal_S7	10906_at			IPR000235	IPB000235					YJR113C		
10907_at		P47151				10907_at									YJR114W		
10908_at		P47152				10908_at									YJR115W		
10909_at		P47153				10909_at									YJR116W		
10910_at		P47154			Peptidase_M48	10910_at			IPR006025						YJR117W		
10911_at		P47155				10911_at									YJR118C		
10912_at		P47156	d1f62a_		jmjN	10912_at			IPR001965	IPB003349					YJR119C		
10913_at		P47157				10913_at									YJR120W		
10914_at		P00830	d1e79a3		ATP-synt_ab_N	10914_at			IPR000793	PR00318					YJR121W		
10915_at		P47158				10915_at									S0003883		
10916_at		P26783	d1rss__		Ribosomal_S7	10916_at			IPR000235	IPB000235					YJR123W		
10917_at		P47159				10917_at				IPB002897					S0003885		
10918_at		P47160	d1ib2a_		ENTH	10918_at			IPR001026	IPB000135					YJR125C		
10919_at		P47161	d1de4c3		PA	10919_at			IPR003137	IPB003137	2.3.2.5				YJR126C		
10875_at		P46974			zf-C2H2	10875_at			IPR000822	IPB000822					YJR127C		
10876_at		P47162				10876_at			IPR001230						YJR128W		
10877_at		P47163				10877_at			IPR000051						YJR129C		
10878_at		P47164	d1cs1a_		Cys_Met_Meta_PP	10878_at			IPR000277	IPB000277	4.4.1.11				YJR130C		
10879_at		P32906	d1ko9a1		Glyco_hydro_47	10879_at			IPR001382	PR00747	3.2.1.113				YJR131W		
10880_at		P46970			IBN_NT	10880_at			IPR001494						YJR132W		
10881_at		P47165	d1bzya_			10881_at					2.4.2.8				YJR133W		
10882_at		P47166				10882_at									YJR134C		Q27480
10883_at		P47167				10883_at									S0003896		
10884_at		P47168				10884_at									S0003897		
10885_at		P47169	d1b1ca_		flavodoxin	10885_at			IPR006067	IPB001226	1.8.7.1				YJR137C		
10886_at		P47170			DEP	10886_at			IPR000591	IPB000591					YJR138W		
10887_at		P31116	d1ebfa1		Homoserine_dh	10887_at			IPR005106	IPB000927	1.1.1.3				YJR139C		
10888_at		P47171				10888_at			IPR000215						S0003901		
10889_at		P47172				10889_at				IPB000098					YJR141W		
10890_at		P47173	d1hzta_		NUDIX	10890_at			IPR000086		2.7.6.2				YJR142W		
10891_at		P46971			MIR	10891_at			IPR003608	IPB003608	2.4.1.109				YJR143C		
10892_at		P32787				10892_at									S0003905		
10893_s_at		P05753			S4	10893_s_at			IPR005824	IPB000876					YJR145C		
10894_at		P47174				10894_at									S0003907		
10895_at		P47175	d2hts__		HSF_DNA-bind	10895_at			IPR000232	IPB000232					YJR147W		
10896_at		P47176	d1ekfa_		aminotran_4	10896_at			IPR001544	IPB001544	2.6.1.42				S0003909		
10851_at		P47177	d1huva_		NPD	10851_at			IPR004136	IPB001295	1.13.11.32				YJR149W		
10852_at		P47178				10852_at			IPR000992						S0003911		
10853_at		P47179				10853_at			IPR000992						YJR151C		
10854_at		P15365				10854_at			IPR004744						YJR152W		
10855_at		P47180	d1czfa_		Glyco_hydro_28	10855_at			IPR000743	IPB000743	3.2.1.15				YJR153W		
10856_at		P47181				10856_at									S0003915		
10857_at		P47182	d1ah4__		aldo_ket_red	10857_at			IPR001395	IPB001395	1.1.1.91				YJR155W		
10858_s_at		P47183				10858_s_at									S0003917		
10859_at		P47184				10859_at									YJR157W		
10860_s_at		P47185			sugar_tr	10860_s_at			IPR001064	IPB003662					S0003919		
10861_s_at		P35497	d1e3ja2		adh_zinc	10861_s_at			IPR002328	IPB003043	1.1.1.14				YJR159W		
10862_s_at		P47186			sugar_tr	10862_s_at			IPR005829	IPB003662					YJR160C		
10863_i_at						10863_i_at									YJL136w-a		
10864_r_at						10864_r_at									YJL136w-a		
10865_at						10865_at									YJR025c-a		
10866_at		P57744			zf-Tim10_DDP	10866_at			IPR004217						YJR135w-a		
10867_s_at		P47136			PH	10867_s_at			IPR001849						YJR092W		
10868_at	NC_001142					10868_at											
10869_at	NC_001142					10869_at											
10870_i_at	NC_001142					10870_i_at											
10871_s_at	NC_001142					10871_s_at											
10872_at	NC_001142					10872_at											
10873_at	NC_001142					10873_at											
10874_at	NC_001142					10874_at											
10828_at	NC_001142					10828_at											
10829_at	NC_001142					10829_at											
10830_at	NC_001142					10830_at											
10831_s_at	NC_001142					10831_s_at											
10832_s_at	NC_001142					10832_s_at											
10833_at	NC_001142					10833_at											
10834_at	NC_001142					10834_at											
10835_at	NC_001142					10835_at											
10836_at	NC_001142					10836_at											
10837_at	NC_001142					10837_at											
10838_at	NC_001142					10838_at											
10839_at	NC_001142					10839_at											
10840_at	NC_001142					10840_at											
10841_at	NC_001142					10841_at											
10842_at	NC_001142					10842_at											
10843_at	NC_001142					10843_at											
10844_at	NC_001142					10844_at											
10845_at	NC_001142					10845_at											
10846_at	NC_001142					10846_at											
10847_at	NC_001142					10847_at											
10848_at	NC_001142					10848_at											
10849_at	NC_001142					10849_at											
10850_at	NC_001142					10850_at											
10806_at	NC_001142					10806_at											
10807_at	NC_001142					10807_at											
10808_at	NC_001142					10808_at											
10809_g_at	NC_001142					10809_g_at											
10810_i_at	NC_001142					10810_i_at											
10811_at	NC_001142					10811_at											
10812_s_at	NC_001142					10812_s_at											
10813_s_at	NC_001142					10813_s_at											
10814_s_at	NC_001142					10814_s_at											
10815_at	NC_001142					10815_at											
10816_at	NC_001142					10816_at											
10817_at	NC_001142					10817_at											
10818_at	NC_001142					10818_at											
10819_at	NC_001142					10819_at											
10820_at	NC_001142					10820_at											
10821_g_at	NC_001142					10821_g_at											
10822_at	NC_001142					10822_at											
10823_at	NC_001142					10823_at											
10824_at	NC_001142					10824_at											
10825_at	NC_001142					10825_at											
10826_at	NC_001142					10826_at											
10827_s_at	NC_001142					10827_s_at											
10782_at						10782_at									SNR128		
10783_at						10783_at									SNR190		
10784_at						10784_at									SNR37		
10785_at						10785_at									SNR60		
10786_i_at						10786_i_at									CEN10		
10787_at						10787_at									SNR3		
10788_at	NC_001142					10788_at											
10789_f_at		P35994			SRP1_TIP1	10789_f_at			IPR000992	IPB000992					YKL224C		
10790_at		P35995			Zn_clus	10790_at			IPR001138	IPB001138					S0001705		
10791_at		P36032				10791_at				IPB002897					YKL221W		
10792_at		P36033			Ferric_reduct	10792_at			IPR002916		1.18.1.3				S0001703		
10793_at		P36034			DUP	10793_at			IPR001142	IPB001142					S0001702		
10794_at		P36007	d1tdj_1		PALP	10794_at			IPR001926	IPB001216	4.2.1.14				YKL218C		
10795_at		P36035			sugar_tr	10795_at			IPR004742	IPB003662					YKL217W		
10796_at		P28272	d2dora_		DHOdehase	10796_at			IPR001295	IPB001295	1.3.3.1				YKL216W		
10797_at		P28273			Hydantoinase_B	10797_at			IPR003692	IPB002821	3.5.2.9				YKL215C		
10798_at		P36036			rrm	10798_at			IPR000504						YKL214C		
10799_at		P36037	d1k8kc_		WD40	10799_at			IPR001680	IPB001680					YKL213C		
10800_at		P32368			Syja_N	10800_at			IPR002013	IPB002013					S0001695		
10801_at		P00937	d1zin_1		IGPS	10801_at			IPR003009	IPB002474	6.3.5.2				YKL211C		
10802_at		P22515	d1ayfa_		UBACT	10802_at			IPR000011	IPB000011					YKL210W		
10803_at		P12866	d1jj7a_		ABC_tran	10803_at			IPR003593	IPB002891					YKL209C		
10804_at		P36038				10804_at									S0001691		
10805_at		P36039				10805_at									YKL207W		
10760_at		P36040				10760_at									YKL206C		
10761_at		P33418			Exportin-t	10761_at									YKL205W		
10762_at		P36041				10762_at									YKL204W		
10763_at		P32600	d3fapb_		PI3_PI4_kinase	10763_at			IPR003152	IPB003113	2.7.1.137				YKL203C		
10764_at		P36042				10764_at									YKL202W		
10765_at		P24004	d1e32a2		AAA	10765_at			IPR003960	IPB002648					YKL197C		
10766_at		P36015	d1h8ma_		synaptobrevin	10766_at			IPR001388	IPB001388					YKL196C		
10767_at		P36046				10767_at									YKL195W		
10768_at		P07236	d1qf6a4		tRNA-synt_2b	10768_at			IPR004154	IPB003364	6.1.1.3				YKL194C		
10769_at		P36047	d1dcea3		LRR	10769_at			IPR001611	PR00019					YKL193C		
10770_at		P32463	d1f80d_		pp-binding	10770_at			IPR003231						S0001675		
10771_at		P32461			Diphthamide_syn	10771_at			IPR002728	IPB002728					YKL191W		
10772_at		P25296	d1tcob_		efhand	10772_at			IPR002048	IPB002048					YKL190W		
10773_at		P25296	d1tcob_		efhand	10773_at			IPR001125	IPB002048					YKL190W		
10774_at		P32464			Mo25	10774_at			IPR004892						S0001672		
10775_at		P34230	d1f3oa_		ABC_tran	10775_at			IPR005283	IPB001140					YKL188C		
10776_at		P34231				10776_at									YKL187C		
10777_at		P34232				10777_at									YKL186C		
10778_at		P34233	d7gata_		GATA	10778_at			IPR000679	IPB000679					YKL185W		
10779_at		P08432	d7odca2		Orn_DAP_Arg_deC	10779_at			IPR002433	IPB000183	4.1.1.17				YKL184W		
10780_at		P34234				10780_at									YKL183W		
10781_at		P07149			MaoC_dehydratas	10781_at			IPR003965	IPB002539					YKL182W		
10737_at		P32895	d1dkra1		Pribosyltran	10737_at			IPR005946	IPB000842	2.7.6.1				S0001664		
10738_i_at		P05740	d1bxea_		Ribosomal_L22	10738_i_at			IPR005721	IPB001063					YKL180W		
10739_f_at		P05740	d1bxea_		Ribosomal_L22	10739_f_at			IPR005721	IPB001063					YKL180W		
10740_at		P34237				10740_at			IPR001236						YKL179C		Q27480
10741_at		P06783			STE3	10741_at			IPR001499	PR00899					S0001661		
10742_at		P34238				10742_at									YKL177W		
10743_at		P34239				10743_at									YKL176C		
10744_at		P34240			Zip	10744_at			IPR003689						YKL175W		
10745_at		P36029			aa_permeases	10745_at			IPR004841	IPB002027					YKL174C		
10746_at		P36048	d1efca3		GTP_EFTU_D2	10746_at			IPR005517	IPB000178					YKL173W		
10747_at		P36049				10747_at									YKL172W		
10748_at		P36003			pkinase	10748_at			IPR000719	IPB002889					YKL171W	CMKI	
10749_at		P35996	d1qhoa4		Ribosomal_L14	10749_at			IPR000218	IPB000218					YKL170W		
10750_at		P36050				10750_at									S0001652		
10751_at		P36004			pkinase	10751_at			IPR002290	IPB003605					YKL168C	mik1+	
10752_at		P32388				10752_at									YKL167C		
10753_at		P05986	d1fota_		pkinase	10753_at			IPR002290	IPB000494	2.7.1.38				YKL166C	TPK3	
10754_at		P36051				10754_at				IPB000917	3.6.1.9				YKL165C		
10755_at		Q03178			yeast_PIR	10755_at			IPR000420	IPB000420					S0001647		
10756_at		Q03180			yeast_PIR	10756_at			IPR000420	IPB000122					YKL163W		
10757_at		P36052				10757_at									YKL162C		
10758_at		P36005	d1pme__		pkinase	10758_at			IPR002290	IPB000861	2.7.1.38				YKL161C	SLT2	
